Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  1,967,600 ptrs | 1,197,434 records | 11522 ptr/s | 0 inv-err
  1,973,200 ptrs | 1,201,828 records | 11527 ptr/s | 0 inv-err
  1,995,200 ptrs | 1,215,456 records | 11510 ptr/s | 0 inv-err
  2,000,200 ptrs | 1,219,739 records | 11518 ptr/s | 0 inv-err
  2,000,400 ptrs | 1,219,894 records | 11519 ptr/s | 0 inv-err
  2,002,000 ptrs | 1,221,104 records | 11521 ptr/s | 0 inv-err
  2,011,400 ptrs | 1,228,900 records | 11537 ptr/s | 0 inv-err
  2,034,400 ptrs | 1,245,148 records | 11522 ptr/s | 0 inv-err
  2,034,800 ptrs | 1,245,445 records | 11523 ptr/s | 0 inv-err
  2,039,000 ptrs | 1,248,407 records | 11523 ptr/s | 0 inv-err
  2,050,600 ptrs | 1,256,333 records | 11528 ptr/s | 0 inv-err
  2,053,000 ptrs | 1,258,010 records | 11530 ptr/s | 0 inv-err
  2,069,400 ptrs | 1,268,816 records | 11526 ptr/s | 0 inv-err
  2,077,400 ptrs | 1,273,859 records | 11523 ptr/s | 0 inv-err
  2,081,000 ptrs | 1,276,508 records | 11523 ptr/s | 0 inv-err
  2,085,400 ptrs | 1,279,350 records | 11512 ptr/s | 0 inv-err
  2,102,000 ptrs | 1,289,647 records | 11507 ptr/s | 0 inv-err
  2,107,400 ptrs | 1,293,350 records | 11512 ptr/s | 0 inv-err
  2,136,400 ptrs | 1,310,037 records | 11518 ptr/s | 0 inv-err
  2,137,600 ptrs | 1,310,560 records | 11519 ptr/s | 0 inv-err
  2,148,000 ptrs | 1,316,432 records | 11510 ptr/s | 0 inv-err
  2,154,600 ptrs | 1,320,866 records | 11505 ptr/s | 0 inv-err
  2,157,400 ptrs | 1,323,132 records | 11498 ptr/s | 0 inv-err
  2,180,600 ptrs | 1,337,820 records | 11505 ptr/s | 0 inv-err
  2,182,000 ptrs | 1,338,739 records | 11507 ptr/s | 0 inv-err
  2,186,000 ptrs | 1,340,913 records | 11503 ptr/s | 0 inv-err
  2,189,800 ptrs | 1,343,381 records | 11490 ptr/s | 1 inv-err
  2,193,600 ptrs | 1,346,035 records | 11488 ptr/s | 1 inv-err
  2,217,400 ptrs | 1,361,520 records | 11514 ptr/s | 2 inv-err
  2,220,200 ptrs | 1,363,564 records | 11514 ptr/s | 2 inv-err
  2,254,200 ptrs | 1,385,345 records | 11524 ptr/s | 6 inv-err
  2,258,600 ptrs | 1,388,020 records | 11521 ptr/s | 6 inv-err
  2,266,200 ptrs | 1,392,614 records | 11496 ptr/s | 6 inv-err
  2,274,800 ptrs | 1,398,107 records | 11503 ptr/s | 6 inv-err
  2,283,200 ptrs | 1,403,687 records | 11520 ptr/s | 6 inv-err
  2,298,600 ptrs | 1,411,960 records | 11524 ptr/s | 6 inv-err
  2,305,800 ptrs | 1,416,024 records | 11526 ptr/s | 6 inv-err
  2,308,800 ptrs | 1,418,061 records | 11536 ptr/s | 6 inv-err
  2,323,200 ptrs | 1,426,731 records | 11536 ptr/s | 6 inv-err
  2,329,400 ptrs | 1,431,200 records | 11550 ptr/s | 6 inv-err
  2,331,600 ptrs | 1,432,660 records | 11553 ptr/s | 6 inv-err
  2,352,000 ptrs | 1,445,605 records | 11567 ptr/s | 6 inv-err
  2,366,200 ptrs | 1,455,213 records | 11557 ptr/s | 6 inv-err
  2,373,800 ptrs | 1,460,844 records | 11543 ptr/s | 6 inv-err
  2,396,000 ptrs | 1,477,461 records | 11576 ptr/s | 6 inv-err
  2,406,800 ptrs | 1,483,982 records | 11577 ptr/s | 6 inv-err
  2,420,800 ptrs | 1,494,890 records | 11581 ptr/s | 6 inv-err
  2,429,400 ptrs | 1,500,990 records | 11581 ptr/s | 6 inv-err
  2,441,200 ptrs | 1,508,859 records | 11584 ptr/s | 6 inv-err
  2,442,400 ptrs | 1,509,632 records | 11586 ptr/s | 6 inv-err
  2,460,800 ptrs | 1,522,422 records | 11582 ptr/s | 6 inv-err
  2,467,200 ptrs | 1,526,865 records | 11581 ptr/s | 6 inv-err
  2,487,800 ptrs | 1,536,900 records | 11610 ptr/s | 6 inv-err
  2,489,400 ptrs | 1,537,221 records | 11615 ptr/s | 6 inv-err
  2,502,600 ptrs | 1,544,280 records | 11621 ptr/s | 6 inv-err
  2,509,600 ptrs | 1,546,608 records | 11641 ptr/s | 6 inv-err
  2,511,200 ptrs | 1,547,055 records | 11642 ptr/s | 6 inv-err
  2,515,200 ptrs | 1,549,803 records | 11638 ptr/s | 6 inv-err
  2,536,800 ptrs | 1,560,908 records | 11646 ptr/s | 6 inv-err
  2,542,400 ptrs | 1,563,686 records | 11647 ptr/s | 6 inv-err
  2,544,600 ptrs | 1,565,044 records | 11648 ptr/s | 6 inv-err
  2,545,600 ptrs | 1,565,517 records | 11647 ptr/s | 6 inv-err
  2,555,800 ptrs | 1,572,008 records | 11638 ptr/s | 6 inv-err
  2,569,000 ptrs | 1,581,548 records | 11647 ptr/s | 6 inv-err
  2,571,800 ptrs | 1,583,637 records | 11653 ptr/s | 6 inv-err
  2,578,400 ptrs | 1,588,013 records | 11662 ptr/s | 6 inv-err
  2,585,200 ptrs | 1,592,484 records | 11669 ptr/s | 6 inv-err
  2,604,400 ptrs | 1,604,786 records | 11670 ptr/s | 6 inv-err
  2,613,000 ptrs | 1,609,572 records | 11682 ptr/s | 6 inv-err
  2,634,800 ptrs | 1,622,904 records | 11701 ptr/s | 6 inv-err
  2,638,800 ptrs | 1,625,651 records | 11701 ptr/s | 6 inv-err
  2,641,400 ptrs | 1,627,267 records | 11700 ptr/s | 6 inv-err
  2,662,800 ptrs | 1,641,012 records | 11709 ptr/s | 6 inv-err
  2,668,600 ptrs | 1,645,098 records | 11720 ptr/s | 6 inv-err
  2,669,600 ptrs | 1,645,661 records | 11722 ptr/s | 6 inv-err
  2,679,400 ptrs | 1,651,650 records | 11724 ptr/s | 6 inv-err
  2,699,800 ptrs | 1,665,023 records | 11730 ptr/s | 6 inv-err
  2,702,800 ptrs | 1,666,906 records | 11734 ptr/s | 6 inv-err
  2,703,600 ptrs | 1,667,262 records | 11737 ptr/s | 6 inv-err
  2,704,400 ptrs | 1,667,576 records | 11738 ptr/s | 6 inv-err
  2,730,200 ptrs | 1,685,504 records | 11758 ptr/s | 6 inv-err
  2,742,200 ptrs | 1,693,368 records | 11759 ptr/s | 6 inv-err
  2,748,800 ptrs | 1,697,513 records | 11759 ptr/s | 6 inv-err
  2,755,400 ptrs | 1,701,825 records | 11758 ptr/s | 6 inv-err
  2,762,600 ptrs | 1,706,679 records | 11758 ptr/s | 6 inv-err
  2,780,400 ptrs | 1,719,283 records | 11769 ptr/s | 6 inv-err
  2,800,600 ptrs | 1,732,163 records | 11776 ptr/s | 6 inv-err
  2,814,000 ptrs | 1,739,914 records | 11784 ptr/s | 6 inv-err
  2,817,400 ptrs | 1,741,884 records | 11787 ptr/s | 6 inv-err
  2,841,000 ptrs | 1,756,988 records | 11777 ptr/s | 6 inv-err
  2,842,000 ptrs | 1,757,569 records | 11776 ptr/s | 6 inv-err
  2,845,000 ptrs | 1,759,108 records | 11776 ptr/s | 6 inv-err
  2,854,600 ptrs | 1,765,588 records | 11790 ptr/s | 6 inv-err
  2,861,800 ptrs | 1,770,831 records | 11787 ptr/s | 6 inv-err
  2,881,400 ptrs | 1,782,675 records | 11758 ptr/s | 6 inv-err
  2,907,600 ptrs | 1,796,826 records | 11743 ptr/s | 6 inv-err
  2,910,600 ptrs | 1,797,935 records | 11743 ptr/s | 6 inv-err
  2,919,600 ptrs | 1,800,238 records | 11744 ptr/s | 6 inv-err
  2,930,000 ptrs | 1,802,585 records | 11757 ptr/s | 6 inv-err
  2,937,400 ptrs | 1,806,088 records | 11752 ptr/s | 6 inv-err
  2,950,600 ptrs | 1,809,709 records | 11764 ptr/s | 6 inv-err
  2,960,200 ptrs | 1,815,251 records | 11763 ptr/s | 6 inv-err
  2,964,200 ptrs | 1,817,298 records | 11751 ptr/s | 6 inv-err
  2,964,600 ptrs | 1,817,563 records | 11749 ptr/s | 6 inv-err
  2,970,800 ptrs | 1,822,033 records | 11754 ptr/s | 6 inv-err
  2,975,600 ptrs | 1,825,025 records | 11759 ptr/s | 6 inv-err
  2,980,200 ptrs | 1,827,151 records | 11759 ptr/s | 6 inv-err
  2,993,200 ptrs | 1,832,572 records | 11760 ptr/s | 6 inv-err
  3,020,200 ptrs | 1,840,588 records | 11763 ptr/s | 6 inv-err
  3,020,600 ptrs | 1,840,830 records | 11763 ptr/s | 6 inv-err
  3,053,400 ptrs | 1,860,230 records | 11756 ptr/s | 6 inv-err
  3,057,600 ptrs | 1,861,425 records | 11765 ptr/s | 6 inv-err
  3,061,600 ptrs | 1,862,569 records | 11771 ptr/s | 6 inv-err
  3,087,800 ptrs | 1,874,768 records | 11785 ptr/s | 6 inv-err
  3,089,400 ptrs | 1,875,461 records | 11789 ptr/s | 6 inv-err
  3,090,600 ptrs | 1,875,854 records | 11788 ptr/s | 6 inv-err
  3,101,600 ptrs | 1,881,047 records | 11792 ptr/s | 6 inv-err
  3,109,800 ptrs | 1,885,984 records | 11777 ptr/s | 6 inv-err
  3,117,000 ptrs | 1,890,944 records | 11773 ptr/s | 6 inv-err
  3,130,400 ptrs | 1,896,814 records | 11779 ptr/s | 6 inv-err
  3,144,000 ptrs | 1,902,950 records | 11780 ptr/s | 6 inv-err
  3,149,800 ptrs | 1,906,383 records | 11780 ptr/s | 6 inv-err
  3,156,200 ptrs | 1,910,223 records | 11771 ptr/s | 6 inv-err
  3,175,400 ptrs | 1,921,981 records | 11761 ptr/s | 6 inv-err
  3,199,600 ptrs | 1,934,796 records | 11767 ptr/s | 6 inv-err
  3,205,200 ptrs | 1,937,528 records | 11771 ptr/s | 6 inv-err
  3,223,000 ptrs | 1,944,931 records | 11784 ptr/s | 6 inv-err
  3,228,200 ptrs | 1,947,554 records | 11789 ptr/s | 6 inv-err
  3,233,000 ptrs | 1,950,234 records | 11783 ptr/s | 6 inv-err
  3,237,600 ptrs | 1,951,813 records | 11786 ptr/s | 6 inv-err
  3,238,600 ptrs | 1,952,001 records | 11786 ptr/s | 6 inv-err
  3,255,600 ptrs | 1,960,367 records | 11791 ptr/s | 6 inv-err
  3,274,400 ptrs | 1,971,466 records | 11789 ptr/s | 6 inv-err
  3,290,000 ptrs | 1,982,489 records | 11795 ptr/s | 6 inv-err
  3,302,200 ptrs | 1,991,454 records | 11803 ptr/s | 6 inv-err
  3,313,800 ptrs | 1,999,828 records | 11794 ptr/s | 6 inv-err
  3,319,400 ptrs | 2,004,083 records | 11801 ptr/s | 6 inv-err
  3,325,000 ptrs | 2,007,878 records | 11804 ptr/s | 6 inv-err
  3,326,000 ptrs | 2,008,528 records | 11802 ptr/s | 6 inv-err
  3,346,600 ptrs | 2,023,461 records | 11822 ptr/s | 6 inv-err
  3,348,000 ptrs | 2,024,441 records | 11823 ptr/s | 6 inv-err
  3,357,200 ptrs | 2,029,929 records | 11807 ptr/s | 6 inv-err
  3,368,600 ptrs | 2,037,381 records | 11808 ptr/s | 6 inv-err
