Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  1,841,600 ptrs | 1,477,882 records | 10326 ptr/s | 0 inv-err
  1,844,800 ptrs | 1,480,367 records | 10327 ptr/s | 0 inv-err
  1,850,000 ptrs | 1,484,466 records | 10322 ptr/s | 0 inv-err
  1,850,200 ptrs | 1,484,621 records | 10322 ptr/s | 0 inv-err
  1,869,000 ptrs | 1,499,455 records | 10331 ptr/s | 0 inv-err
  1,879,800 ptrs | 1,507,959 records | 10340 ptr/s | 0 inv-err
  1,887,200 ptrs | 1,513,788 records | 10337 ptr/s | 0 inv-err
  1,891,600 ptrs | 1,517,305 records | 10332 ptr/s | 0 inv-err
  1,894,800 ptrs | 1,519,874 records | 10335 ptr/s | 0 inv-err
  1,906,400 ptrs | 1,529,102 records | 10346 ptr/s | 0 inv-err
  1,922,400 ptrs | 1,541,725 records | 10353 ptr/s | 0 inv-err
  1,932,600 ptrs | 1,549,856 records | 10352 ptr/s | 0 inv-err
  1,947,000 ptrs | 1,561,195 records | 10355 ptr/s | 0 inv-err
  1,948,800 ptrs | 1,562,605 records | 10355 ptr/s | 0 inv-err
  1,960,200 ptrs | 1,571,614 records | 10358 ptr/s | 0 inv-err
  1,967,400 ptrs | 1,577,368 records | 10358 ptr/s | 0 inv-err
  1,990,000 ptrs | 1,595,339 records | 10369 ptr/s | 0 inv-err
  1,999,000 ptrs | 1,602,475 records | 10375 ptr/s | 0 inv-err
  2,002,600 ptrs | 1,605,311 records | 10374 ptr/s | 0 inv-err
  2,016,000 ptrs | 1,615,997 records | 10373 ptr/s | 0 inv-err
  2,024,400 ptrs | 1,622,863 records | 10375 ptr/s | 0 inv-err
  2,042,400 ptrs | 1,637,103 records | 10388 ptr/s | 0 inv-err
  2,043,800 ptrs | 1,638,170 records | 10383 ptr/s | 0 inv-err
  2,061,800 ptrs | 1,652,455 records | 10386 ptr/s | 0 inv-err
  2,068,200 ptrs | 1,657,515 records | 10384 ptr/s | 0 inv-err
  2,069,400 ptrs | 1,658,467 records | 10388 ptr/s | 0 inv-err
  2,100,800 ptrs | 1,683,417 records | 10401 ptr/s | 0 inv-err
  2,103,000 ptrs | 1,685,180 records | 10401 ptr/s | 0 inv-err
  2,111,000 ptrs | 1,691,486 records | 10404 ptr/s | 0 inv-err
  2,127,600 ptrs | 1,704,604 records | 10414 ptr/s | 0 inv-err
  2,130,800 ptrs | 1,707,092 records | 10418 ptr/s | 0 inv-err
  2,134,000 ptrs | 1,709,694 records | 10420 ptr/s | 0 inv-err
  2,141,200 ptrs | 1,715,433 records | 10413 ptr/s | 0 inv-err
  2,152,000 ptrs | 1,724,007 records | 10415 ptr/s | 0 inv-err
  2,165,000 ptrs | 1,734,245 records | 10420 ptr/s | 0 inv-err
