=== BEFORE Sat Aug  1 01:49:30 EDT 2026 ===
total 12,072,644 | real-phone 1,578,305
=== [1/2] lambda-drive cc-warc-mon-all.jsonl Sat Aug  1 01:49:30 EDT 2026 ===
Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  2,417,400 ptrs | 1,982,913 records | 10215 ptr/s | 0 inv-err
  2,424,000 ptrs | 1,988,239 records | 10207 ptr/s | 0 inv-err
  2,426,600 ptrs | 1,990,352 records | 10203 ptr/s | 0 inv-err
  2,432,200 ptrs | 1,994,918 records | 10177 ptr/s | 0 inv-err
  2,443,200 ptrs | 2,003,257 records | 10170 ptr/s | 0 inv-err
  2,449,800 ptrs | 2,008,387 records | 10171 ptr/s | 0 inv-err
  2,481,400 ptrs | 2,031,722 records | 10155 ptr/s | 0 inv-err
  2,481,800 ptrs | 2,032,043 records | 10155 ptr/s | 0 inv-err
  2,487,600 ptrs | 2,036,153 records | 10153 ptr/s | 0 inv-err
  2,499,000 ptrs | 2,044,365 records | 10148 ptr/s | 0 inv-err
  2,522,400 ptrs | 2,061,467 records | 10155 ptr/s | 0 inv-err
  2,530,600 ptrs | 2,067,525 records | 10156 ptr/s | 0 inv-err
  2,536,600 ptrs | 2,071,925 records | 10154 ptr/s | 0 inv-err
  2,541,200 ptrs | 2,075,337 records | 10143 ptr/s | 0 inv-err
  2,541,600 ptrs | 2,075,642 records | 10144 ptr/s | 0 inv-err
  2,568,800 ptrs | 2,095,894 records | 10151 ptr/s | 0 inv-err
  2,576,600 ptrs | 2,101,700 records | 10159 ptr/s | 0 inv-err
  2,579,600 ptrs | 2,103,924 records | 10164 ptr/s | 0 inv-err
  2,597,800 ptrs | 2,117,532 records | 10137 ptr/s | 0 inv-err
  2,604,800 ptrs | 2,122,791 records | 10134 ptr/s | 0 inv-err
  2,607,800 ptrs | 2,125,069 records | 10136 ptr/s | 0 inv-err
  2,611,400 ptrs | 2,127,847 records | 10139 ptr/s | 0 inv-err
  2,621,000 ptrs | 2,135,102 records | 10149 ptr/s | 0 inv-err
  2,653,600 ptrs | 2,159,034 records | 10136 ptr/s | 0 inv-err
  2,672,600 ptrs | 2,173,092 records | 10145 ptr/s | 0 inv-err
  2,675,600 ptrs | 2,175,245 records | 10145 ptr/s | 0 inv-err
  2,676,400 ptrs | 2,175,841 records | 10146 ptr/s | 0 inv-err
  2,682,800 ptrs | 2,180,372 records | 10139 ptr/s | 0 inv-err
  2,684,000 ptrs | 2,181,243 records | 10137 ptr/s | 0 inv-err
  2,712,000 ptrs | 2,202,020 records | 10125 ptr/s | 0 inv-err
  2,716,800 ptrs | 2,205,638 records | 10124 ptr/s | 0 inv-err
  2,721,600 ptrs | 2,209,117 records | 10120 ptr/s | 0 inv-err
  2,727,800 ptrs | 2,213,689 records | 10121 ptr/s | 0 inv-err
  2,741,800 ptrs | 2,224,098 records | 10118 ptr/s | 0 inv-err
  2,743,400 ptrs | 2,225,272 records | 10118 ptr/s | 0 inv-err
  2,755,600 ptrs | 2,234,191 records | 10116 ptr/s | 0 inv-err
  2,762,800 ptrs | 2,239,438 records | 10114 ptr/s | 0 inv-err
  2,767,000 ptrs | 2,242,558 records | 10109 ptr/s | 0 inv-err
  2,787,000 ptrs | 2,257,388 records | 10119 ptr/s | 0 inv-err
  2,803,800 ptrs | 2,269,598 records | 10112 ptr/s | 0 inv-err
  2,810,200 ptrs | 2,274,403 records | 10098 ptr/s | 0 inv-err
  2,820,800 ptrs | 2,282,227 records | 10104 ptr/s | 0 inv-err
  2,827,000 ptrs | 2,286,747 records | 10101 ptr/s | 0 inv-err
  2,844,800 ptrs | 2,299,688 records | 10108 ptr/s | 0 inv-err
  2,845,000 ptrs | 2,299,811 records | 10106 ptr/s | 0 inv-err
  2,857,000 ptrs | 2,308,583 records | 10104 ptr/s | 0 inv-err
  2,873,400 ptrs | 2,320,541 records | 10100 ptr/s | 0 inv-err
  2,876,800 ptrs | 2,322,968 records | 10099 ptr/s | 0 inv-err
  2,894,400 ptrs | 2,335,903 records | 10095 ptr/s | 0 inv-err
  2,904,800 ptrs | 2,343,492 records | 10098 ptr/s | 0 inv-err
  2,920,400 ptrs | 2,354,933 records | 10090 ptr/s | 0 inv-err
  2,929,000 ptrs | 2,361,243 records | 10090 ptr/s | 0 inv-err
  2,941,000 ptrs | 2,370,135 records | 10092 ptr/s | 0 inv-err
  2,942,400 ptrs | 2,371,121 records | 10093 ptr/s | 0 inv-err
  2,952,600 ptrs | 2,378,610 records | 10083 ptr/s | 0 inv-err
  2,953,800 ptrs | 2,379,503 records | 10085 ptr/s | 0 inv-err
  2,966,000 ptrs | 2,388,319 records | 10081 ptr/s | 0 inv-err
  2,974,800 ptrs | 2,394,709 records | 10082 ptr/s | 0 inv-err
  2,981,200 ptrs | 2,399,467 records | 10089 ptr/s | 0 inv-err
  3,004,800 ptrs | 2,416,690 records | 10079 ptr/s | 0 inv-err
  3,006,200 ptrs | 2,417,693 records | 10078 ptr/s | 0 inv-err
  3,013,800 ptrs | 2,423,123 records | 10073 ptr/s | 0 inv-err
  3,040,800 ptrs | 2,442,932 records | 10072 ptr/s | 0 inv-err
  3,041,200 ptrs | 2,443,232 records | 10072 ptr/s | 0 inv-err
  3,055,800 ptrs | 2,454,106 records | 10073 ptr/s | 0 inv-err
  3,064,200 ptrs | 2,460,339 records | 10075 ptr/s | 0 inv-err
  3,068,000 ptrs | 2,463,069 records | 10076 ptr/s | 0 inv-err
  3,081,000 ptrs | 2,472,391 records | 10070 ptr/s | 0 inv-err
  3,088,600 ptrs | 2,478,065 records | 10065 ptr/s | 0 inv-err
  3,091,400 ptrs | 2,480,160 records | 10065 ptr/s | 0 inv-err
  3,094,800 ptrs | 2,482,712 records | 10067 ptr/s | 0 inv-err
  3,106,200 ptrs | 2,490,995 records | 10074 ptr/s | 0 inv-err
  3,145,400 ptrs | 2,519,960 records | 10063 ptr/s | 0 inv-err
  3,149,600 ptrs | 2,522,987 records | 10066 ptr/s | 0 inv-err
  3,151,400 ptrs | 2,524,367 records | 10067 ptr/s | 0 inv-err
  3,174,200 ptrs | 2,541,072 records | 10058 ptr/s | 0 inv-err
  3,188,200 ptrs | 2,551,387 records | 10050 ptr/s | 0 inv-err
  3,188,600 ptrs | 2,551,672 records | 10051 ptr/s | 0 inv-err
  3,191,800 ptrs | 2,554,068 records | 10053 ptr/s | 0 inv-err
  3,210,800 ptrs | 2,567,993 records | 10070 ptr/s | 0 inv-err
  3,214,600 ptrs | 2,570,772 records | 10069 ptr/s | 0 inv-err
  3,224,600 ptrs | 2,578,056 records | 10053 ptr/s | 0 inv-err
  3,231,400 ptrs | 2,583,022 records | 10047 ptr/s | 0 inv-err
  3,236,800 ptrs | 2,586,977 records | 10052 ptr/s | 0 inv-err
  3,260,200 ptrs | 2,604,164 records | 10062 ptr/s | 0 inv-err
  3,261,400 ptrs | 2,605,026 records | 10061 ptr/s | 0 inv-err
  3,284,000 ptrs | 2,621,447 records | 10043 ptr/s | 0 inv-err
  3,287,200 ptrs | 2,623,820 records | 10047 ptr/s | 0 inv-err
  3,298,600 ptrs | 2,632,248 records | 10057 ptr/s | 0 inv-err
  3,306,800 ptrs | 2,638,153 records | 10062 ptr/s | 0 inv-err
  3,313,400 ptrs | 2,642,899 records | 10055 ptr/s | 0 inv-err
  3,317,000 ptrs | 2,645,498 records | 10046 ptr/s | 0 inv-err
  3,341,400 ptrs | 2,663,365 records | 10047 ptr/s | 0 inv-err
  3,344,600 ptrs | 2,665,700 records | 10049 ptr/s | 0 inv-err
  3,349,800 ptrs | 2,669,566 records | 10051 ptr/s | 0 inv-err
  3,358,200 ptrs | 2,675,693 records | 10052 ptr/s | 0 inv-err
  3,366,800 ptrs | 2,681,966 records | 10041 ptr/s | 0 inv-err
  3,384,400 ptrs | 2,694,881 records | 10036 ptr/s | 0 inv-err
  3,388,000 ptrs | 2,697,456 records | 10037 ptr/s | 0 inv-err
  3,392,600 ptrs | 2,700,858 records | 10044 ptr/s | 0 inv-err
  3,393,800 ptrs | 2,701,761 records | 10045 ptr/s | 0 inv-err
  3,419,600 ptrs | 2,720,654 records | 10028 ptr/s | 0 inv-err
  3,423,600 ptrs | 2,723,651 records | 10028 ptr/s | 0 inv-err
  3,448,600 ptrs | 2,742,194 records | 10040 ptr/s | 0 inv-err
  3,449,600 ptrs | 2,742,988 records | 10041 ptr/s | 0 inv-err
  3,463,600 ptrs | 2,753,149 records | 10023 ptr/s | 0 inv-err
  3,469,000 ptrs | 2,756,902 records | 10025 ptr/s | 0 inv-err
  3,475,200 ptrs | 2,761,622 records | 10028 ptr/s | 0 inv-err
  3,489,600 ptrs | 2,772,066 records | 10032 ptr/s | 0 inv-err
  3,491,800 ptrs | 2,773,684 records | 10033 ptr/s | 0 inv-err
  3,505,400 ptrs | 2,783,828 records | 10023 ptr/s | 0 inv-err
  3,514,600 ptrs | 2,790,525 records | 10019 ptr/s | 0 inv-err
  3,533,800 ptrs | 2,804,718 records | 10027 ptr/s | 0 inv-err
  3,543,800 ptrs | 2,812,056 records | 10028 ptr/s | 0 inv-err
