Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  2,179,800 ptrs | 1,109,179 records | 8607 ptr/s | 1 inv-err
  2,181,800 ptrs | 1,110,343 records | 8611 ptr/s | 1 inv-err
  2,184,200 ptrs | 1,111,541 records | 8611 ptr/s | 1 inv-err
  2,203,800 ptrs | 1,121,998 records | 8623 ptr/s | 1 inv-err
  2,208,400 ptrs | 1,124,256 records | 8624 ptr/s | 1 inv-err
  2,214,800 ptrs | 1,127,332 records | 8629 ptr/s | 1 inv-err
  2,220,800 ptrs | 1,130,435 records | 8632 ptr/s | 1 inv-err
  2,240,800 ptrs | 1,140,678 records | 8646 ptr/s | 1 inv-err
  2,245,400 ptrs | 1,143,053 records | 8650 ptr/s | 1 inv-err
  2,248,600 ptrs | 1,144,768 records | 8650 ptr/s | 1 inv-err
  2,254,200 ptrs | 1,147,683 records | 8654 ptr/s | 1 inv-err
  2,287,000 ptrs | 1,164,403 records | 8677 ptr/s | 1 inv-err
  2,289,000 ptrs | 1,165,479 records | 8678 ptr/s | 1 inv-err
  2,300,600 ptrs | 1,171,378 records | 8679 ptr/s | 1 inv-err
  2,303,600 ptrs | 1,172,871 records | 8678 ptr/s | 1 inv-err
  2,306,400 ptrs | 1,174,449 records | 8681 ptr/s | 1 inv-err
  2,342,400 ptrs | 1,192,515 records | 8650 ptr/s | 1 inv-err
  2,344,400 ptrs | 1,193,587 records | 8642 ptr/s | 1 inv-err
  2,353,600 ptrs | 1,198,260 records | 8632 ptr/s | 1 inv-err
  2,355,200 ptrs | 1,199,099 records | 8628 ptr/s | 1 inv-err
  2,368,200 ptrs | 1,205,604 records | 8603 ptr/s | 1 inv-err
  2,380,000 ptrs | 1,211,692 records | 8562 ptr/s | 1 inv-err
  2,380,600 ptrs | 1,212,034 records | 8555 ptr/s | 1 inv-err
  2,390,600 ptrs | 1,217,048 records | 8463 ptr/s | 1 inv-err
  2,404,200 ptrs | 1,223,754 records | 8431 ptr/s | 1 inv-err
  2,411,800 ptrs | 1,227,342 records | 8441 ptr/s | 1 inv-err
  2,413,600 ptrs | 1,228,194 records | 8443 ptr/s | 1 inv-err
  2,420,400 ptrs | 1,231,665 records | 8458 ptr/s | 1 inv-err
  2,442,800 ptrs | 1,243,225 records | 8471 ptr/s | 1 inv-err
  2,470,800 ptrs | 1,257,573 records | 8457 ptr/s | 1 inv-err
  2,471,800 ptrs | 1,258,111 records | 8458 ptr/s | 1 inv-err
